Wed Dec 13 20:59:34 2023    ./profiler_results/output.dat

         73923 function calls (73902 primitive calls) in 3.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2576    0.014    0.000    0.014    0.000 {method 'render' of 'zengl.Pipeline' objects}
     6440    0.013    0.000    0.013    0.000 {method 'write' of 'zengl.Buffer' objects}
      657    0.002    0.000    0.013    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:751(call_soon)
      650    0.002    0.000    0.013    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:442(select)
     1290    0.002    0.000    0.012    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\shader_programs.py:38(<lambda>)
      651    0.005    0.000    0.011    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:804(_poll)
      657    0.005    0.000    0.010    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:780(_call_soon)
      645    0.009    0.000    0.009    0.000 {built-in method pygame.key.get_pressed}
     1290    0.001    0.000    0.006    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\shader_programs.py:50(<lambda>)
      657    0.005    0.000    0.005    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\events.py:31(__init__)
      654    0.005    0.000    0.005    0.000 {built-in method _overlapped.GetQueuedCompletionStatus}
     2576    0.004    0.000    0.005    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\state_machine.py:15(update)
      644    0.005    0.000    0.005    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\controls.py:30(move_player)
      644    0.005    0.000    0.005    0.000 {method 'end_frame' of 'zengl.Context' objects}
      644    0.005    0.000    0.005    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\controls.py:16(move_camera)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1165(_find_and_load)
     1290    0.003    0.000    0.004    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\tasks.py:627(sleep)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     2580    0.004    0.000    0.004    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:666(_load_unlocked)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
      5/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.003    0.003 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pygame\freetype.py:1(<module>)
      644    0.003    0.000    0.003    0.000 {method 'clear' of 'zengl.Image' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pygame\pkgdata.py:45(getResource)
      644    0.003    0.000    0.003    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\controls.py:47(resize_player)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
        3    0.002    0.001    0.002    0.001 {method 'image' of 'zengl.Context' objects}
      645    0.002    0.000    0.002    0.000 {built-in method pygame.mouse.get_pos}
2726/2720    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.002    0.002 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1215(resource_stream)
      644    0.002    0.000    0.002    0.000 {method 'tick' of 'pygame.time.Clock' objects}
      650    0.001    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:700(time)
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1722(get_resource_stream)
     1288    0.001    0.000    0.001    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\state_machine.py:28(set_state)
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:62(__exit__)
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:65(close)
        4    0.000    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:475(program)
        1    0.000    0.000    0.001    0.001 {built-in method zengl.context}
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1201(resource_exists)
        2    0.000    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:395(get_provider)
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:58(__enter__)
        2    0.000    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:131(_lazy_init)
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\events.py:804(new_event_loop)
     2578    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\events.py:689(new_event_loop)
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:312(__init__)
        2    0.000    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1693(__init__)
      651    0.001    0.000    0.001    0.000 {built-in method math.ceil}
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\proactor_events.py:631(__init__)
      666    0.001    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:517(_check_closed)
      645    0.001    0.000    0.001    0.000 {built-in method pygame.mouse.get_pressed}
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\proactor_events.py:782(_make_self_pipe)
      644    0.001    0.000    0.001    0.000 {built-in method pygame.time.get_ticks}
        1    0.000    0.000    0.001    0.001 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\socket.py:616(socketpair)
      652    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        8    0.000    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\textwrap.py:419(dedent)
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.001    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1697(_setup_prefix)
        7    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      657    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\signal.py:24(_int_to_enum)
        8    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\__init__.py:178(sub)
        8    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\enum.py:685(__call__)
      116    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:254(loader)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        8    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\enum.py:1091(__new__)
       20    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        8    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\__init__.py:272(_compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1500(has_resource)
        4    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:149(resize)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      652    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\_compiler.py:738(compile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       20    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1679(_parents)
     1290    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\tasks.py:615(__sleep0)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1713(_has)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        4    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:578(validate)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\signal.py:54(signal)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\signal.py:60(getsignal)
      663    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:1940(get_debug)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\reprlib.py:15(wrapper)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        8    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\proactor_events.py:684(close)
       16    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\_parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:273(loader)
      2/1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\_parser.py:447(_parse_sub)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_tasks.py:26(_task_repr)
      650    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\proactor_events.py:880(_process_events)
        1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\_zengl.py:247(__init__)
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
        1    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\scene.py:27(destroy)
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_tasks.py:9(_task_repr_info)
        4    0.000    0.000    0.000    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:177(destroy)
        5    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\proactor_events.py:789(_loop_self_reading)
      2/1    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\re\_parser.py:507(_parse)
      656    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:1487(__init__)
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\site-packages\pkg_resources\__init__.py:2434(_is_egg_path)
